Body_Type,Kilometers_Driven,Owner_Count,oem,model,modelYear,price,Fuel_Type,Transmission,Engine_CC,Length_mm,Height_mm,Wheel_Base_mm,Kerb_weight_kg,Tyre_Type,Mileage_Kmpl,Max_Power_BHP,Torque_Nm,Seats,Wheel_size,City
Hatchback,18835,1,Maruti,Maruti Alto 800,2021,411000.00000000006,Petrol,Manual,796.0,3445.0,1475.0,2360.0,762.0,Tubeless,22.05,47.33,69.0,5.0,15.697549201633866,Bangalore
SUV,120000,2,Mahindra,Mahindra Scorpio,2010,650000.0,Diesel,Manual,2179.0,4430.0,1975.0,2680.0,1990.0,TubelessRadial,12.05,120.0,290.0,7.0,16.0,Bangalore
Hatchback,40000,1,Mini,Mini 3 DOOR,2016,3675000.0,Petrol,Automatic,1998.0,3850.0,1414.0,2495.0,1250.0,Runflat,17.33,189.08,280.0,4.0,16.0,Bangalore
Hatchback,60932,1,Tata,Tata Tiago,2019,610000.0,Petrol,Manual,1199.0,3746.0,1535.0,2400.0,1012.0,Tubeless,23.84,83.83,114.0,5.0,15.0,Bangalore
SUV,33539,2,Kia,Kia Seltos,2020,1675000.0,Petrol,Automatic,1353.0,4315.0,1645.0,2610.0,1535.0,TubelessRadial,16.5,138.08,242.0,5.0,17.0,Bangalore
Hatchback,66837,2,Tata,Tata Tiago,2018,530000.0,Petrol,Manual,1199.0,3746.0,1535.0,2400.0,1012.0,Tubeless,23.84,84.0,114.0,5.0,15.697549201633866,Bangalore
Sedan,400,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,7990000.000000001,Diesel,Automatic,2925.0,5075.0,1495.0,3079.0,1980.0,TubelessRadial,18.9,281.61,600.0,5.0,18.0,Bangalore
Hatchback,60000,2,Maruti,Maruti Alto,2008,250000.0,Petrol,Manual,796.0,3495.0,1460.0,2360.0,705.0,TubelessRadial,19.7,46.3,62.0,5.0,12.0,Bangalore
Hatchback,44285,1,Hyundai,Hyundai i20,2019,715000.0,Petrol,Manual,1197.0,3985.0,1505.0,2570.0,1120.0,TubelessRadial,18.6,81.86,117.0,5.0,15.697549201633866,Bangalore
SUV,100000,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,3500000.0,Diesel,Automatic,2987.0,5120.0,1850.0,3075.0,2535.0,TubelessRadial,11.3,254.8,619.0,7.0,19.0,Bangalore
SUV,25000,1,Tata,Tata New Safari,2021,2250000.0,Diesel,Automatic,1956.0,4661.0,1786.0,2741.0,1825.0,TubelessRadial,14.08,167.67,350.0,6.0,18.0,Bangalore
Hatchback,36735,1,Hyundai,Hyundai Grand i10,2018,625000.0,Petrol,Manual,1197.0,3765.0,1520.0,2425.0,1060.0,Tubeless,18.9,81.86,113.75,5.0,14.0,Bangalore
SUV,79000,1,Audi,Audi Q7,2015,2695000.0,Diesel,Automatic,2967.0,5089.0,1737.0,3002.0,2345.0,TubelessRadial,12.07,241.4,550.0,7.0,18.0,Bangalore
SUV,120000,2,Mahindra,Mahindra Scorpio,2010,650000.0,Diesel,Manual,2179.0,4430.0,1975.0,2680.0,1970.0,TubelessRadial,12.05,120.0,290.0,8.0,16.0,Bangalore
Hatchback,10000,1,Renault,Renault KWID,2022,550000.0,Petrol,Automatic,999.0,3731.0,1474.0,2422.0,750.0,TubelessRadial,22.0,67.0,91.0,5.0,15.697549201633866,Bangalore
